doi,affiliations_raw,extracted_institutions
10.26599/JAC.2025.9221171,"1Henan Key Laboratory of High-Efficiency Energy Conversion Science and Technology, Henan International Joint Laboratory of New Energy Materials and Devices, School of Physics and Electronics, Henan University, Kaifeng 475004, China; 2School of Information and Artificial Intelligence, Anhui Agricultural University, Hefei 230036, China; 3School of Intelligent Manufacturing, Wenzhou Polytechnic, Wenzhou 325035, China; 4State Grid Fuzhou Electric Power Supply Company, Fuzhou 350009, China; 5School of Measurement and Communication Engineering, Harbin University of Science and Technology, Harbin 150",Henan University; Anhui Agricultural University; Wenzhou Polytechnic; State Grid Fuzhou Electric Power Supply Company; Harbin 150
10.26599/JAC.2025.9221173,"1School of Materials Science and Engineering, Tianjin University, Tianjin 300072, China; 2State Key Laboratory of Precious Metal Functional Materials, Tianjin 300072, China; 3Tianjin Key Laboratory of Advanced Joining Technology, Tianjin 300072, China; 4AECC Shenyang Liming Aero Engine Co., Ltd., Shenyang 110043, China","Tianjin University; State Key Laboratory of Precious Metal Functional Materials; Tianjin Key Laboratory of Advanced Joining Technology; AECC Shenyang Liming Aero Engine Co., Ltd."
10.26599/JAC.2025.9221174,"1Regional Leading Research Center for Smart Energy Systems, Kyungpook National University, Daegu 41566, Republic of Korea; 2Department of Materials Science and Metallurgical Engineering, Kyungpook National University, Daegu 41566, Republic of Korea; 3Innovative Semiconductor Education and Research Center for Future Mobility, Kyungpook National University, Daegu 41566, Republic of Korea; 4Research Institute of Automotive Parts and Materials, Kyungpook National University, Daegu, 41566, Republic of Korea; 5School of Materials Science and Engineering, Yeungnam University, Gyeongsan 38541, Republi",Kyungpook National University; Republi
10.26599/JAC.2025.9221175,"1School of Electrical and Electronic Engineering, Harbin University of Science and Technology, Harbin 150080, China; 2National Key Laboratory of High-performance Special Cable Technology, Harbin 150080, China; 3Key Laboratory of Engineering Dielectrics and Its Application, Ministry of Education, Harbin University of Science and Technology, Harbin 150080, China; † Xinle Zhang, Shimin Sun, and Chao Yin contributed equally to this work.",Harbin University of Science and Technology; National Key Laboratory of High-performance Special Cable Technology
10.26599/JAC.2025.9221176,"Science and Technology on Advanced Ceramic Fibers and Composites Laboratory, College of Aerospace Science and Engineering, National University of Defense Technology, Changsha 410073, China; † Chuhan Sun and Honghai Pan contributed equally to this work.",National University of Defense Technology
10.26599/JAC.2025.9221178,"Key Laboratory of Functional Inorganic Material Chemistry, Ministry of Education, School of Chemistry and Materials Science, Heilongjiang University, Harbin 150080, China",Heilongjiang University
10.26599/JAC.2025.9221179,"1School of Environmental and Material Engineering, Yantai University, Yantai 264005, China; 2School of Electronics and Information Technology, Sun Yat-sen University, Guangzhou 510006, China; 3Suzhou Laboratory, Suzhou 215128, China; 4Shandong Key Laboratory of Advanced Structural Materials Genome Engineering, Yantai University, Yantai 264005, China",Yantai University; Sun Yat-sen University; Suzhou Laboratory
10.26599/JAC.2025.9221180,"1School of Integrated Circuits, Engineering Research Center for Functional Ceramics, Ministry of Education, Wuhan National Laboratory for Optoelectronics, Optical Valley Laboratory, Huazhong University of Science and Technology, Wuhan 430074, China; 2Department of Physics, University of Science and Technology Beijing, Beijing 100083, China; 3Yunnan Key Laboratory of Electromagnetic Materials and Devices, National Center for International Research on Photoelectric and Energy Materials, School of Materials and Energy, Yunnan University, Kunming 650091, China; 4School of Advanced Materials and Na",Huazhong University of Science and Technology; University of Science and Technology Beijing; Yunnan University; School of Advanced Materials and Na
10.26599/JAC.2025.9221181,"College of Materials Science and Engineering, Huaqiao University, Xiamen 361021, China",Huaqiao University
10.26599/JAC.2025.9221182,"1Department of Materials Science and Engineering, Dalian Maritime University, Dalian 116026, China; 2Technical Institute of Physics and Chemistry, Chinese Academy of Sciences, Beijing 100080, China",Dalian Maritime University; Chinese Academy of Sciences
