doi,title,affiliations_raw
10.26599/JAC.2025.9221171,Performance enhancement of nanogenerator achieved in branch-heterostructure piezoelectric ceramic fiber toward electrical transmission power line monitoring,"1Henan Key Laboratory of High-Efficiency Energy Conversion Science and Technology, Henan International Joint Laboratory of New Energy Materials and Devices, School of Physics and Electronics, Henan University, Kaifeng 475004, China; 2School of Information and Artificial Intelligence, Anhui Agricultural University, Hefei 230036, China; 3School of Intelligent Manufacturing, Wenzhou Polytechnic, Wenzhou 325035, China; 4State Grid Fuzhou Electric Power Supply Company, Fuzhou 350009, China; 5School of Measurement and Communication Engineering, Harbin University of Science and Technology, Harbin 150"
10.26599/JAC.2025.9221173,Construction of a molten CMAS-resistant bilayer-structured apatite layer used for thermal barrier coatings,"1School of Materials Science and Engineering, Tianjin University, Tianjin 300072, China; 2State Key Laboratory of Precious Metal Functional Materials, Tianjin 300072, China; 3Tianjin Key Laboratory of Advanced Joining Technology, Tianjin 300072, China; 4AECC Shenyang Liming Aero Engine Co., Ltd., Shenyang 110043, China"
10.26599/JAC.2025.9221174,A-/B-site engineering of AgNbO3-based ceramics for high-efficiency relaxor antiferroelectric energy storage,"1Regional Leading Research Center for Smart Energy Systems, Kyungpook National University, Daegu 41566, Republic of Korea; 2Department of Materials Science and Metallurgical Engineering, Kyungpook National University, Daegu 41566, Republic of Korea; 3Innovative Semiconductor Education and Research Center for Future Mobility, Kyungpook National University, Daegu 41566, Republic of Korea; 4Research Institute of Automotive Parts and Materials, Kyungpook National University, Daegu, 41566, Republic of Korea; 5School of Materials Science and Engineering, Yeungnam University, Gyeongsan 38541, Republi"
10.26599/JAC.2025.9221175,Giant recoverable energy storage density for lead-free SrTiO3-based dielectric films coated by the amorphous Al2O3 insulating layers,"1School of Electrical and Electronic Engineering, Harbin University of Science and Technology, Harbin 150080, China; 2National Key Laboratory of High-performance Special Cable Technology, Harbin 150080, China; 3Key Laboratory of Engineering Dielectrics and Its Application, Ministry of Education, Harbin University of Science and Technology, Harbin 150080, China; † Xinle Zhang, Shimin Sun, and Chao Yin contributed equally to this work."
10.26599/JAC.2025.9221176,"Synthesis, pyrolysis mechanism, and ceramic ablation performance of a TaC precursor with unsaturated bonds","Science and Technology on Advanced Ceramic Fibers and Composites Laboratory, College of Aerospace Science and Engineering, National University of Defense Technology, Changsha 410073, China; † Chuhan Sun and Honghai Pan contributed equally to this work."
10.26599/JAC.2025.9221178,Achieving electrocatalytic activity toward oxygen reduction reaction based on Ruddlesden–Popper type cathode catalyst for solid oxide fuel cells,"Key Laboratory of Functional Inorganic Material Chemistry, Ministry of Education, School of Chemistry and Materials Science, Heilongjiang University, Harbin 150080, China"
10.26599/JAC.2025.9221179,"Bonding characteristics, electrical and microwave/terahertz dielectric properties of novel tetragonal scheelite structure NaSrLnMo3O12 (Ln = Ce, Pr, Eu, Y, Yb) ceramics for antenna application","1School of Environmental and Material Engineering, Yantai University, Yantai 264005, China; 2School of Electronics and Information Technology, Sun Yat-sen University, Guangzhou 510006, China; 3Suzhou Laboratory, Suzhou 215128, China; 4Shandong Key Laboratory of Advanced Structural Materials Genome Engineering, Yantai University, Yantai 264005, China"
10.26599/JAC.2025.9221180,Unlocking the electro–optic potential of ferroelectrics: advanced domain and phase manipulation,"1School of Integrated Circuits, Engineering Research Center for Functional Ceramics, Ministry of Education, Wuhan National Laboratory for Optoelectronics, Optical Valley Laboratory, Huazhong University of Science and Technology, Wuhan 430074, China; 2Department of Physics, University of Science and Technology Beijing, Beijing 100083, China; 3Yunnan Key Laboratory of Electromagnetic Materials and Devices, National Center for International Research on Photoelectric and Energy Materials, School of Materials and Energy, Yunnan University, Kunming 650091, China; 4School of Advanced Materials and Na"
10.26599/JAC.2025.9221181,Mechanically robust SiC aerogel with both electromagnetic absorption and pollutant adsorption via microtube/nanowire structure design,"College of Materials Science and Engineering, Huaqiao University, Xiamen 361021, China"
10.26599/JAC.2025.9221182,A novel two-step sintering strategy for highly transparent AlON ceramics by combination of ultra-fast high-temperature sintering followed by conventional sintering,"1Department of Materials Science and Engineering, Dalian Maritime University, Dalian 116026, China; 2Technical Institute of Physics and Chemistry, Chinese Academy of Sciences, Beijing 100080, China"
10.26599/JAC.2025.9221183,Achieving positive temperature-dependent thermal conductivity in multicomponent nitrides via phonon–electron synergistic regulation,"1Institute for Advanced Ceramics, School of Materials Science and Engineering, Harbin Institute of Technology, Harbin 150080, China; 2Chongqing Research Institute, Harbin Institute of Technology, Chongqing 401135, China"
10.26599/JAC.2025.9221185,Low-temperature sintering ZTA ceramics with CuO–TiO2–Nb2O5 composite oxide sintering aids for LTCC applications,"1School of Materials Science and Engineering, Shanghai University, Shanghai 200444, China; 2State Key Laboratory of High Performance Ceramics and Superfine Microstructure, Shanghai Institute of Ceramics, Chinese Academy of Sciences, Shanghai 201899, China"
10.26599/JAC.2025.9221186,Energy efficient sintering of high-performance ceramics,"1State Key Laboratory for Mechanical Behavior of Materials, School of Materials Science and Engineering, Xi’an Jiaotong University, Xi’an 710049, China; 2Guangdong Provisional Key Laboratory of Functional Oxide Materials and Devices, Southern University of Science and Technology, Shenzhen 518055, China; 3School of Energy and Power Engineering, Xi’an Jiaotong University, Xi’an 710049, China; 4Department of Materials Science and Engineering & Shenzhen Engineering Research Center for Novel Electronic Information Materials and Devices, Southern University of Science and Technology, Shenzhen 518055"
10.26599/JAC.2025.9221188,"Nitrogen-induced stacking fault energy reduction enables spinodal-decomposition-driven toughening in (Ti,Zr)C ceramics","1Key Laboratory for Liquid‒Solid Structural Evolution and Processing of Materials (Ministry of Education), Shandong University, Jinan 250061, China; 2School of Materials Science and Engineering, Zhengzhou University, Zhengzhou 450001, China"
10.26599/JAC.2025.9221189,Orbital hybridization and charge distribution modulation in MOF-derived carbon materials for tailored electromagnetic attenuation,"1College of Operational Support, Rocket Force University of Engineering, Xi’an 710025, China; 2State Key Laboratory of Solidification Processing, School of Material Science and Engineering, Northwestern Polytechnical University, Xi’an 710072, China; 3College of Material Science and Engineering, Zhengzhou University, Zhengzhou 450001, China"
10.26599/JAC.2025.9221190,Bamboo-inspired fibrous monolithic high-entropy carbide ceramics with enhanced toughness and thermal insulation performance,"School of Materials, Shenzhen Campus of Sun Yat-sen University, Shenzhen 518107, China"
